gene	num_var	multiallelic	aggr_ac	aggr_an	aggr_af	aggr_ac_nfe	aggr_an_nfe	aggr_af_nfe	aggr_ac_bc	aggr_an_bc	aggr_af_bc	aggr_ac_cbc	aggr_an_cbc	aggr_af_cbc	aggr_ac_ubc	aggr_an_ubc	aggr_af_ubc	nfe_bc_fisher_p	ubc_cbc_fisher_p	prop_trend_p	crude_trend_direction	nfe_bc_fisher_fdr	ubc_cbc_fisher_fdr	prop_trend_fdr	polr_status	polr_message	polr_p	polr_fdr
ITGA9	ITGA9	3	FALSE	3	3794	0.000790722192936215	0	1096	0	3	2698	0.0011119347664937	2	1356	0.00147492625368732	1	1342	0.000745156482861401	0.561564004184372	1	0.195695069259353	Risk	1	1	0.553563506581093	succeeded	NA	0.193590248808275	0.614331883171745
ATR	ATR	6	FALSE	7	7524	0.000930356193514088	0	2162	0	7	5362	0.00130548302872063	3	2716	0.00110456553755523	4	2646	0.00151171579743008	0.203376498916897	0.722975512299451	0.241298978910701	Risk	0.874557049631855	1	0.553563506581093	succeeded	NA	0.72136988892676	0.887494751768532
GYG1	GYG1	2	FALSE	3	2580	0.00116279069767442	0	706	0	3	1874	0.0016008537886873	2	946	0.00211416490486258	1	928	0.00107758620689655	0.566609528633049	1	0.21097924909383	Risk	1	1	0.553563506581093	succeeded	NA	0.31421624311519	0.62843248623038
NFXL1	NFXL1	4	FALSE	7	5066	0.00138176075799447	0	1390	0	7	3676	0.00190424374319913	4	1864	0.00214592274678112	3	1812	0.00165562913907285	0.200871038232518	1	0.111950479321015	Risk	0.874557049631855	1	0.553563506581093	succeeded	NA	0.0592691665200608	0.395127776800405
PPAT	PPAT	1	FALSE	2	1260	0.00158730158730159	0	364	0	2	896	0.00223214285714286	0	458	0	2	438	0.0045662100456621	1	0.238684656823623	0.89554698746132	None	1	1	0.956356674943351	succeeded	NA	0.574154135236452	0.781126215478316
DCHS2	DCHS2	11	FALSE	67	14358	0.00466638807633375	32	4234	0.00755786490316486	35	10124	0.00345713156854998	20	5114	0.00391083300743058	15	5010	0.0029940119760479	0.00177275344228423	0.499612070727984	0.01422855048449	Protective	0.109910713421622	1	0.419514659910976	succeeded	NA	0.404534886769258	0.701295882933641
REV3L	REV3L	1	FALSE	1	1324	0.000755287009063444	0	394	0	1	930	0.0010752688172043	1	468	0.00213675213675214	0	462	0	1	1	0.240662757534281	Risk	1	1	0.553563506581093	warning	glm.fit: fitted probabilities numerically 0 or 1 occurred	0.389938693297299	0.701295882933641
PMS2	PMS2	1	FALSE	2	1294	0.00154559505409583	0	360	0	2	934	0.00214132762312634	2	472	0.00423728813559322	0	462	0	1	0.499521471801263	0.104856429040321	Risk	1	1	0.553563506581093	succeeded	NA	0.113791447457249	0.46541467868892
RNF133	RNF133	1	FALSE	59	1292	0.0456656346749226	18	352	0.0511363636363636	41	940	0.0436170212765957	24	474	0.0506329113924051	17	466	0.036480686695279	0.551924129284292	0.338833416404169	0.942624392577668	Protective	1	1	0.956356674943351	succeeded	NA	0.361595674192383	0.699862595211064
XRCC2	XRCC2	1	FALSE	1	1330	0.00075187969924812	1	394	0.00253807106598985	0	936	0	0	472	0	0	464	0	0.296240601503759	1	0.188199065633454	Protective	0.874557049631855	1	0.553563506581093	succeeded	NA	0.264971163063525	0.62843248623038
NRG1	NRG1	1	FALSE	1	1308	0.000764525993883792	1	368	0.00271739130434783	0	940	0	0	474	0	0	466	0	0.281345565749235	1	0.175474198363162	Protective	0.874557049631855	1	0.553563506581093	warning	glm.fit: fitted probabilities numerically 0 or 1 occurred	1.36966859443088e-06	2.05450289164632e-05
DEPTOR	DEPTOR	1	FALSE	1	1282	0.00078003120124805	0	344	0	1	938	0.00106609808102345	0	472	0	1	466	0.00214592274678112	1	0.49680170575693	0.899583087228473	None	1	1	0.956356674943351	succeeded	NA	0.135820203462257	0.509325762983464
FANCG	FANCG	1	FALSE	1	1308	0.000764525993883792	0	370	0	1	938	0.00106609808102345	0	474	0	1	464	0.0021551724137931	1	0.494669509594883	0.920734150208591	None	1	1	0.956356674943351	succeeded	NA	0.308311271320991	0.62843248623038
GLE1	GLE1	6	FALSE	7	7858	0.000890811911427844	0	2272	0	7	5586	0.0012531328320802	3	2812	0.00106685633001422	4	2774	0.00144196106705119	0.203919215271555	0.724590689608146	0.234624740479493	Risk	0.874557049631855	1	0.553563506581093	succeeded	NA	0.110143642109335	0.46541467868892
SETX	SETX	9	FALSE	17	11804	0.00144018976618096	0	3476	0	17	8328	0.00204130643611912	7	4210	0.00166270783847981	10	4118	0.00242836328314716	0.00537502284056322	0.475764472821112	0.0729964116780217	Risk	0.16662570805746	1	0.553563506581093	succeeded	NA	0.30294427559833	0.62843248623038
GBGT1	GBGT1	1	FALSE	3	1276	0.00235109717868339	3	340	0.00882352941176471	0	936	0	0	472	0	0	464	0	0.0187959823427804	1	0.0155589620215718	Protective	0.388450301750795	1	0.419514659910976	warning	glm.fit: fitted probabilities numerically 0 or 1 occurred	1.10623732396675e-11	3.31871197190025e-10
DCLRE1C	DCLRE1C	2	FALSE	3	2576	0.00116459627329193	1	732	0.00136612021857923	2	1844	0.00108459869848156	0	936	0	2	908	0.00220264317180617	1	0.242329833349615	0.371965386506694	Protective	1	1	0.707763130109068	succeeded	NA	0.193280059439977	0.614331883171745
ERCC6	ERCC6	3	FALSE	4	3824	0.00104602510460251	2	1152	0.00173611111111111	2	2672	0.000748502994011976	1	1348	0.000741839762611276	1	1324	0.000755287009063444	0.588713767968184	1	0.455027707298173	Protective	1	1	0.707763130109068	succeeded	NA	0.494090658965885	0.778404590425511
NOC3L	NOC3L	2	FALSE	3	2560	0.001171875	2	762	0.0026246719160105	1	1798	0.000556173526140156	0	904	0	1	894	0.00111856823266219	0.212954258248494	0.497219132369299	0.119933234593854	Protective	0.874557049631855	1	0.553563506581093	succeeded	NA	0.0778480424709258	0.42462568620505
FGFR2	FGFR2	1	FALSE	1	1276	0.000783699059561128	1	338	0.0029585798816568	0	938	0	0	474	0	0	464	0	0.264890282131661	1	0.161431328782174	Protective	0.874557049631855	1	0.553563506581093	warning	glm.fit: fitted probabilities numerically 0 or 1 occurred	1.81410442223751e-13	1.08846265334251e-11
FANCF	FANCF	1	FALSE	1	1290	0.000775193798449612	1	352	0.00284090909090909	0	938	0	0	474	0	0	464	0	0.272868217054264	1	0.168180166091876	Protective	0.874557049631855	1	0.553563506581093	warning	glm.fit: fitted probabilities numerically 0 or 1 occurred	8.35483560113204e-09	1.67096712022641e-07
ATM	ATM	7	FALSE	7	9076	0.000771264874394006	0	2610	0	7	6466	0.00108258583359109	4	3268	0.00122399020807834	3	3198	0.000938086303939962	0.203476388143528	1	0.0994300558053439	Risk	0.874557049631855	1	0.553563506581093	succeeded	NA	0.0757228044225211	0.42462568620505
RDX	RDX	1	FALSE	1	1268	0.000788643533123028	1	386	0.00259067357512953	0	882	0	0	446	0	0	436	0	0.304416403785489	1	0.19509335383218	Protective	0.874557049631855	1	0.553563506581093	succeeded	NA	0.272687239694062	0.62843248623038
RECQL	RECQL	6	TRUE	10	7728	0.00129399585921325	4	2248	0.00177935943060498	6	5480	0.00109489051094891	4	2786	0.00143575017946877	2	2694	0.000742390497401633	0.490032261952735	0.687593293920787	0.784111588243516	Protective	1	1	0.956356674943351	succeeded	NA	0.702257456867409	0.887494751768532
GPR133	GPR133	1	FALSE	1	1312	0.00076219512195122	0	372	0	1	940	0.00106382978723404	0	474	0	1	466	0.00214592274678112	1	0.495744680851064	0.922480005872431	None	1	1	0.956356674943351	succeeded	NA	0.862642825306356	0.936678155137961
SACS	SACS	2	FALSE	6	2618	0.00229182582123759	1	748	0.00133689839572193	5	1870	0.00267379679144385	3	942	0.00318471337579618	2	928	0.0021551724137931	0.680877249988046	1	0.426836963643094	Risk	1	1	0.707763130109068	succeeded	NA	0.590167021794672	0.781126215478316
CENPJ	CENPJ	6	FALSE	9	7560	0.00119047619047619	2	2176	0.000919117647058824	7	5384	0.0013001485884101	2	2726	0.000733675715333822	5	2658	0.0018811136192626	1	0.282803362228138	0.78537825280268	Protective	1	1	0.956356674943351	succeeded	NA	0.7917032549276	0.916685083040697
BRCA2	BRCA2	2	FALSE	2	2560	0.00078125	0	736	0	2	1824	0.00109649122807018	1	928	0.00107758620689655	1	896	0.00111607142857143	1	1	0.453833836053523	Risk	1	1	0.707763130109068	succeeded	NA	1	1
VWA8	VWA8	1	FALSE	1	1250	8e-04	1	392	0.00255102040816327	0	858	0	0	428	0	0	430	0	0.3136	1	0.20353917857923	Protective	0.874557049631855	1	0.553563506581093	succeeded	NA	0.400248105576987	0.701295882933641
LIG4	LIG4	3	FALSE	4	3952	0.00101214574898785	2	1132	0.00176678445229682	2	2820	0.000709219858156028	2	1422	0.00140646976090014	0	1398	0	0.324432453895688	0.4998588604681	0.854468758110307	Protective	0.874557049631855	1	0.956356674943351	succeeded	NA	0.784268393642219	0.916685083040697
FANCM	FANCM	3	FALSE	7	3898	0.00179579271421242	2	1110	0.0018018018018018	5	2788	0.00179340028694405	2	1406	0.00142247510668563	3	1382	0.00217076700434153	1	0.684626503086828	0.801487786807859	Protective	1	1	0.956356674943351	succeeded	NA	0.219170973916697	0.614331883171745
NTHL1	NTHL1	1	FALSE	2	1180	0.00169491525423729	2	338	0.00591715976331361	0	842	0	0	430	0	0	412	0	0.0818749011658832	1	0.0574142494051689	Protective	0.874557049631855	1	0.553563506581093	warning	glm.fit: fitted probabilities numerically 0 or 1 occurred	0.00112676041571169	0.0112676041571169
SLX4	SLX4	4	FALSE	8	5256	0.0015220700152207	1	1500	0.000666666666666667	7	3756	0.00186368477103301	3	1894	0.00158394931362196	4	1862	0.00214822771213749	0.453355902991282	0.724068826041612	0.535740514841197	Risk	1	1	0.784647834054462	succeeded	NA	0.518233595002809	0.778404590425511
ERCC4	ERCC4	1	FALSE	1	1306	0.000765696784073507	0	366	0	1	940	0.00106382978723404	1	474	0.00210970464135021	0	466	0	1	1	0.249996422326945	Risk	1	1	0.553563506581093	succeeded	NA	0.22525502382964	0.614331883171745
PALB2	PALB2	2	TRUE	2	2394	0.000835421888053467	1	736	0.00135869565217391	1	1658	0.00060313630880579	0	844	0	1	814	0.00122850122850123	0.520443049398116	0.490952955367913	0.34170830493141	Protective	1	1	0.707763130109068	succeeded	NA	0.544883213297858	0.778404590425511
RFWD3	RFWD3	1	FALSE	1	1264	0.000791139240506329	0	384	0	1	880	0.00113636363636364	1	448	0.00223214285714286	0	432	0	1	1	0.240831223566559	Risk	1	1	0.553563506581093	warning	glm.fit: fitted probabilities numerically 0 or 1 occurred	0.101754001862554	0.46541467868892
FANCA	FANCA	1	FALSE	1	1296	0.000771604938271605	0	388	0	1	908	0.00110132158590308	0	454	0	1	454	0.00220264317180617	1	1	0.949502326237571	None	1	1	0.956356674943351	error	initial value in 'vmmin' is not finite	NA	NA
NLRP1	NLRP1	1	FALSE	3	1304	0.00230061349693252	2	376	0.00531914893617021	1	928	0.00107758620689655	0	470	0	1	458	0.00218340611353712	0.201278898451114	0.493534482758621	0.110302823540758	Protective	0.874557049631855	1	0.553563506581093	succeeded	NA	0.11635366967223	0.46541467868892
NF1	NF1	3	FALSE	3	3916	0.00076608784473953	0	1148	0	3	2768	0.00108381502890173	1	1398	0.000715307582260372	2	1370	0.00145985401459854	0.560414744598999	0.62110578130705	0.561280532512141	Risk	1	1	0.784647834054462	succeeded	NA	0.803319292564662	0.916685083040697
MYO1D	MYO1D	3	FALSE	4	3808	0.00105042016806723	0	1084	0	4	2724	0.00146842878120411	3	1376	0.00218023255813953	1	1348	0.000741839762611276	0.583006891697147	0.624803772385582	0.0921789476572337	Risk	1	1	0.553563506581093	succeeded	NA	0.309757418227034	0.62843248623038
ACACA	ACACA	3	FALSE	3	3790	0.00079155672823219	0	1090	0	3	2700	0.00111111111111111	2	1370	0.00145985401459854	1	1330	0.00075187969924812	0.561932922125584	1	0.200433410316349	Risk	1	1	0.553563506581093	succeeded	NA	0.292530167085173	0.62843248623038
BRCA1	BRCA1	1	FALSE	1	1174	0.000851788756388416	0	360	0	1	814	0.00122850122850123	0	412	0	1	402	0.00248756218905473	1	0.493857493857494	0.956356674943351	None	1	1	0.956356674943351	error	initial value in 'vmmin' is not finite	NA	NA
RAD51C	RAD51C	1	FALSE	1	1322	0.00075642965204236	1	384	0.00260416666666667	0	938	0	0	474	0	0	464	0	0.290468986384266	1	0.183171034911711	Protective	0.874557049631855	1	0.553563506581093	warning	glm.fit: fitted probabilities numerically 0 or 1 occurred	0.00834688452108057	0.0715447244664049
BRIP1	BRIP1	6	FALSE	6	7456	0.000804721030042918	0	2128	0	6	5328	0.00112612612612613	5	2690	0.00185873605947955	1	2638	0.000379075056861259	0.192454904532134	0.218619985681843	0.0202990964473053	Risk	0.874557049631855	1	0.419514659910976	succeeded	NA	0.0167715374914404	0.125786531185803
DSG1	DSG1	4	FALSE	19	5176	0.00367078825347759	4	1478	0.0027063599458728	15	3698	0.00405624661979448	8	1874	0.00426894343649947	7	1824	0.00383771929824561	0.614156888542701	1	0.465044109023165	Risk	1	1	0.707763130109068	succeeded	NA	0.809738490019282	0.916685083040697
ZNF77	ZNF77	2	FALSE	3	2664	0.00112612612612613	1	784	0.00127551020408163	2	1880	0.00106382978723404	1	948	0.00105485232067511	1	932	0.00107296137339056	1	1	0.89442903342081	Protective	1	1	0.956356674943351	succeeded	NA	0.997942750335097	1
ZNF557	ZNF557	2	FALSE	2	2560	0.00078125	0	702	0	2	1858	0.00107642626480086	1	938	0.00106609808102345	1	920	0.00108695652173913	1	1	0.468036908620513	Risk	1	1	0.707763130109068	succeeded	NA	0.520040769148931	0.778404590425511
SERPIND1	SERPIND1	2	FALSE	3	2636	0.00113808801213961	2	762	0.0026246719160105	1	1874	0.000533617929562433	1	944	0.00105932203389831	0	930	0	0.202280785708787	1	0.384288658125005	Protective	0.874557049631855	1	0.707763130109068	succeeded	NA	0.221995464392764	0.614331883171745
CHEK2	CHEK2	4	FALSE	4	5038	0.000793965859468043	1	1462	0.000683994528043776	3	3576	0.000838926174496644	0	1802	0	3	1774	0.00169109357384442	1	0.121982621998246	0.428372060841897	Protective	1	1	0.707763130109068	succeeded	NA	0.217164076307474	0.614331883171745
EIF4ENIF1	EIF4ENIF1	1	FALSE	1	1334	0.000749625187406297	0	394	0	1	940	0.00106382978723404	0	474	0	1	466	0.00214592274678112	1	0.495744680851064	0.940549404796857	None	1	1	0.956356674943351	succeeded	NA	0.873510782708866	0.936678155137961
FANCB	FANCB	3	FALSE	3	3754	0.00079914757591902	0	1088	0	3	2666	0.00112528132033008	1	1350	0.000740740740740741	2	1316	0.00151975683890578	0.561295745543554	0.620133248159157	0.569502460200819	Risk	1	1	0.784647834054462	succeeded	NA	0.87423294479543	0.936678155137961
RNF128	RNF128	1	FALSE	11	1274	0.0086342229199372	1	346	0.00289017341040462	10	928	0.0107758620689655	4	470	0.00851063829787234	6	458	0.0131004366812227	0.306388004359066	0.541769558208128	0.462043478131359	Risk	0.874557049631855	1	0.707763130109068	succeeded	NA	0.587875855704105	0.781126215478316
